mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_tfidf__max_df,param_tfidf__min_df,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
3.777968168258667,0.0,0.06022357940673828,0.0,1.0,0.9,1,"(1, 2)",,"{'svm__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.8295429208472687,0.8295429208472687,0.0,4
3.516749382019043,0.0,0.05137276649475098,0.0,1.0,0.9,1,"(1, 2)",english,"{'svm__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.831908576377076,0.831908576377076,0.0,3
1.490462064743042,0.0,0.04380393028259277,0.0,1.0,0.9,3,"(1, 1)",,"{'svm__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.7797449439615156,0.7797449439615156,0.0,20
0.9835121631622314,0.0,0.04392886161804199,0.0,1.0,0.9,3,"(1, 1)",english,"{'svm__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.7690929537657774,0.7690929537657774,0.0,23
2.061215877532959,0.0,0.08517861366271973,0.0,1.0,0.9,3,"(1, 2)",,"{'svm__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.7941157529646632,0.7941157529646632,0.0,14
2.145261764526367,0.0,0.07452511787414551,0.0,1.0,0.9,3,"(1, 2)",english,"{'svm__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.7845127664237113,0.7845127664237113,0.0,18
2.2354061603546143,0.0,0.035349369049072266,0.0,2.0,0.9,1,"(1, 1)",,"{'svm__C': 2.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.816174779432735,0.816174779432735,0.0,9
2.413550853729248,0.0,0.03211784362792969,0.0,2.0,0.9,1,"(1, 1)",english,"{'svm__C': 2.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.807189249373705,0.807189249373705,0.0,11
3.5186586380004883,0.0,0.04941821098327637,0.0,2.0,0.9,1,"(1, 2)",,"{'svm__C': 2.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.8251296539635251,0.8251296539635251,0.0,6
3.0777409076690674,0.0,0.03653287887573242,0.0,2.0,0.9,1,"(1, 2)",english,"{'svm__C': 2.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.8327130745648635,0.8327130745648635,0.0,2
2.143630266189575,0.0,0.03043079376220703,0.0,2.0,0.9,3,"(1, 1)",,"{'svm__C': 2.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.7821226333516552,0.7821226333516552,0.0,19
1.6841628551483154,0.0,0.047861576080322266,0.0,2.0,0.9,3,"(1, 1)",english,"{'svm__C': 2.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.7693528605439723,0.7693528605439723,0.0,22
2.8373541831970215,0.0,0.03780174255371094,0.0,2.0,0.9,3,"(1, 2)",,"{'svm__C': 2.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.7943099055511234,0.7943099055511234,0.0,13
1.9765846729278564,0.0,0.042261362075805664,0.0,2.0,0.9,3,"(1, 2)",english,"{'svm__C': 2.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.785708614038326,0.785708614038326,0.0,17
